"Time","116001F","","116001F","","116001F","",""
"and","141.00","","141.00","","141.00","",""
"Date","Discharge (ML/day)","","Discharge (ML/day)","","Discharge (ML/day)","",""
"Date and time","Mean","Quality","Min","Quality","Max","Quality","Comments"
00:00:00 05/12/2016,     361.593,     60,     353.549,     60,     371.434,     60, 
00:00:00 06/12/2016,     351.434,     60,     339.120,     60,     365.386,     60, 
00:00:00 07/12/2016,     341.248,     60,     327.845,     60,     350.611,     60, 
00:00:00 08/12/2016,     333.869,     60,     322.315,     60,     347.717,     60, 
00:00:00 09/12/2016,     327.977,     60,     314.107,     60,     339.120,     60, 
00:00:00 10/12/2016,     320.246,     60,     311.429,     60,     333.461,     60, 
00:00:00 11/12/2016,     388.189,     60,     319.550,     60,     418.824,     60, 
00:00:00 12/12/2016,     496.450,     60,     359.424,     60,     581.170,     60, 
00:00:00 13/12/2016,    2548.580,     30,     568.944,     30,    3974.227,     30, 
00:00:00 14/12/2016,    3493.928,     30,    2858.846,     30,    3813.912,     30, 
00:00:00 15/12/2016,    2553.322,     30,    1771.502,     30,    3714.206,     30, 
00:00:00 16/12/2016,    1396.327,     30,    1129.118,     30,    1771.502,     30, 
00:00:00 17/12/2016,     972.769,     30,     858.686,     30,    1129.118,     30, 
00:00:00 18/12/2016,     773.200,     30,     713.059,     30,     858.686,     30, 
00:00:00 19/12/2016,     671.447,     30,     644.803,     30,     713.059,     30, 
00:00:00 20/12/2016,     624.880,     30,     610.286,     30,     649.210,     30, 
00:00:00 21/12/2016,     584.243,     30,     560.909,     30,     610.286,     30, 
00:00:00 22/12/2016,     535.360,     60,     517.968,     60,     560.909,     60, 
00:00:00 23/12/2016,     503.523,     60,     491.832,     60,     517.968,     60, 
00:00:00 24/12/2016,     499.736,     60,     488.160,     60,     517.968,     60, 
00:00:00 25/12/2016,     508.336,     60,     499.219,     60,     521.770,     60, 
00:00:00 26/12/2016,     480.330,     60,     466.603,     60,     499.219,     60, 
00:00:00 27/12/2016,     462.930,     60,     445.694,     60,     488.160,     60, 
00:00:00 28/12/2016,     443.910,     60,     425.434,     60,     459.562,     60, 
00:00:00 29/12/2016,     421.916,     60,     409.018,     60,     435.456,     60, 
00:00:00 30/12/2016,     401.239,     60,     389.923,     60,     412.258,     60, 
00:00:00 31/12/2016,     398.491,     60,     389.923,     60,     405.778,     60, 
00:00:00 01/01/2017,     393.356,     60,     386.813,     60,     399.384,     60, 
00:00:00 02/01/2017,     392.086,     60,     377.525,     60,     415.541,     60, 
00:00:00 03/01/2017,     447.921,     60,     409.018,     60,     589.378,     60, 
00:00:00 04/01/2017,     709.254,     30,     589.378,     30,     766.152,     30, 
00:00:00 05/01/2017,    1123.636,     30,     680.616,     30,    1833.408,     30, 
00:00:00 06/01/2017,    1468.634,     30,    1235.304,     30,    1824.466,     30, 
00:00:00 07/01/2017,    2754.310,     30,    1249.042,     30,   12047.357,     30, 
00:00:00 08/01/2017,   31429.379,     30,   12047.357,     30,   52288.762,     30, 
00:00:00 09/01/2017,   52355.291,     20,   50130.620,     20,   54750.082,     20, 
00:00:00 10/01/2017,   58147.090,     20,   50092.344,     20,   73331.828,     20, 
00:00:00 11/01/2017,   80889.916,     30,   73331.828,     30,   95216.732,     30, 
00:00:00 12/01/2017,   90615.306,     30,   78322.119,     30,  100516.724,     30, 
00:00:00 13/01/2017,   69143.264,     30,   59251.608,     30,   78322.119,     30, 
00:00:00 14/01/2017,   47403.640,     20,   37778.962,     20,   59251.608,     20, 
00:00:00 15/01/2017,   33313.771,     20,   29612.866,     20,   37778.962,     20, 
00:00:00 16/01/2017,   25744.641,     20,   21341.059,     20,   29612.866,     20, 
00:00:00 17/01/2017,   19195.842,     20,   17437.032,     20,   21341.059,     20, 
00:00:00 18/01/2017,   16946.020,     20,   16357.723,     20,   17921.952,     20, 
00:00:00 19/01/2017,   16650.401,     20,   15619.090,     20,   17921.952,     20, 
00:00:00 20/01/2017,   14409.280,     10,   12685.680,     10,   15619.090,     10, 
00:00:00 21/01/2017,   11061.130,     20,    9809.683,     20,   12685.680,     20, 
00:00:00 22/01/2017,    8897.357,     20,    8146.915,     20,    9809.683,     20, 
00:00:00 23/01/2017,    7576.799,     20,    7187.962,     20,    8146.915,     20, 
00:00:00 24/01/2017,    6961.275,     20,    6529.594,     20,    7187.962,     20, 
00:00:00 25/01/2017,    6039.717,     20,    5772.427,     20,    6529.594,     20, 
00:00:00 26/01/2017,    5510.048,     20,    5193.158,     20,    5772.427,     20, 
00:00:00 27/01/2017,    4708.257,     20,    4375.339,     20,    5193.158,     20, 
00:00:00 28/01/2017,    4108.884,     20,    3866.227,     20,    4375.339,     20, 
00:00:00 29/01/2017,    3631.047,     20,    3475.224,     20,    3866.227,     20, 
00:00:00 30/01/2017,    3301.320,     20,    3172.046,     20,    3475.224,     20, 
00:00:00 31/01/2017,    6020.613,     20,    3296.160,     20,   11397.499,     20, 
00:00:00 01/02/2017,   29362.574,     20,   11397.499,     20,   46030.594,     20, 
00:00:00 02/02/2017,   35803.698,     10,   27602.295,     10,   45937.411,     10, 
00:00:00 03/02/2017,   21794.773,     10,   17464.637,     10,   27602.295,     10, 
00:00:00 04/02/2017,   13781.832,     20,   11233.858,     20,   17464.637,     20, 
00:00:00 05/02/2017,   10610.432,     20,   10366.531,     20,   11233.858,     20, 
00:00:00 06/02/2017,   11889.092,     20,   10550.390,     20,   14212.843,     20, 
00:00:00 07/02/2017,   31455.978,     10,   14135.213,     10,   47982.068,     10, 
00:00:00 08/02/2017,   35354.618,     10,   25822.930,     10,   47397.744,     10, 
00:00:00 09/02/2017,   21859.941,     10,   18593.712,     10,   25822.930,     10, 
00:00:00 10/02/2017,   16465.567,     10,   15088.594,     10,   18593.712,     10, 
00:00:00 11/02/2017,   14284.276,     10,   13024.584,     10,   15088.594,     10, 
00:00:00 12/02/2017,   12168.976,     20,   11372.270,     20,   13024.584,     20, 
00:00:00 13/02/2017,   10753.503,     20,   10123.142,     20,   11372.270,     20, 
00:00:00 14/02/2017,    9516.407,     20,    8901.274,     20,   10123.142,     20, 
00:00:00 15/02/2017,    8420.991,     20,    8146.915,     20,    8901.274,     20, 
00:00:00 16/02/2017,    8905.773,     20,    7967.506,     20,   13941.720,     20, 
00:00:00 17/02/2017,   22038.006,     10,   13941.720,     10,   25527.355,     10, 
00:00:00 18/02/2017,   21325.187,     10,   17533.671,     10,   24401.693,     10, 
00:00:00 19/02/2017,   16178.314,     10,   15605.741,     10,   17533.671,     10, 
00:00:00 20/02/2017,   15636.852,     10,   14368.493,     10,   16371.245,     10, 
00:00:00 21/02/2017,   14266.363,     10,   13877.438,     10,   14602.982,     10, 
00:00:00 22/02/2017,   20606.490,     10,   14290.603,     10,   24954.869,     10, 
00:00:00 23/02/2017,   19848.493,     10,   18509.343,     10,   21194.352,     10, 
00:00:00 24/02/2017,   18717.570,     10,   17769.111,     10,   19401.293,     10, 
00:00:00 25/02/2017,   18522.375,     10,   17685.907,     10,   19059.927,     10, 
00:00:00 26/02/2017,   15243.871,     10,   13467.989,     10,   17685.907,     10, 
00:00:00 27/02/2017,   12057.042,     20,   10933.834,     20,   13467.989,     20, 
00:00:00 28/02/2017,   10199.002,     20,    9535.190,     20,   10933.834,     20, 
00:00:00 01/03/2017,    9062.162,     20,    8635.810,     20,    9535.190,     20, 
00:00:00 02/03/2017,    8296.646,     20,    8146.915,     20,    8635.810,     20, 
00:00:00 03/03/2017,   11139.545,     20,    8214.566,     20,   15779.362,     20, 
00:00:00 04/03/2017,   16274.929,     10,   14943.701,     10,   17024.645,     10, 
00:00:00 05/03/2017,   12956.002,     20,   11460.658,     20,   14943.701,     20, 
00:00:00 06/03/2017,   11244.840,     20,   10908.950,     20,   11701.800,     20, 
00:00:00 07/03/2017,   10732.860,     20,   10062.576,     20,   11058.509,     20, 
00:00:00 08/03/2017,    9805.091,     20,    9654.206,     20,   10062.576,     20, 
00:00:00 09/03/2017,   13877.140,     20,    9929.822,     20,   19859.299,     20, 
00:00:00 10/03/2017,   38926.742,     10,   19859.299,     10,   47699.064,     10, 
00:00:00 11/03/2017,   30555.660,     10,   25294.767,     10,   38959.402,     10, 
00:00:00 12/03/2017,   21831.489,     10,   18720.504,     10,   25294.767,     10, 
00:00:00 13/03/2017,   16243.206,     10,   14186.966,     10,   18720.504,     10, 
00:00:00 14/03/2017,   12731.753,     20,   11498.630,     20,   14186.966,     20, 
00:00:00 15/03/2017,   10621.819,     20,    9845.669,     20,   11498.630,     20, 
00:00:00 16/03/2017,    9290.822,     20,    8785.498,     20,    9845.669,     20, 
00:00:00 17/03/2017,    8295.348,     20,    7867.195,     20,    8785.498,     20, 
00:00:00 18/03/2017,    7655.523,     20,    7513.992,     20,    7900.589,     20, 
00:00:00 19/03/2017,    7977.448,     20,    7767.274,     20,    8271.072,     20, 
00:00:00 20/03/2017,    7998.151,     20,    7745.155,     20,    8831.765,     20, 
00:00:00 21/03/2017,   10347.364,     20,    8831.765,     20,   13916.016,     20, 
00:00:00 22/03/2017,   13920.104,     10,   13315.450,     10,   14956.834,     10, 
00:00:00 23/03/2017,   15385.654,     10,   12923.885,     10,   17547.495,     10, 
00:00:00 24/03/2017,   15538.488,     10,   15062.198,     10,   17024.645,     10, 
00:00:00 25/03/2017,   15376.234,     10,   14720.616,     10,   15765.970,     10, 
00:00:00 26/03/2017,   13083.257,     20,   12008.779,     20,   14720.616,     20, 
00:00:00 27/03/2017,   10765.172,     20,    9857.678,     20,   12008.779,     20, 
00:00:00 28/03/2017,    9766.207,     20,    9239.875,     20,   10135.282,     20, 
00:00:00 29/03/2017,    8552.405,     20,    7956.317,     20,    9275.126,     20, 
00:00:00 30/03/2017,    7526.096,     20,    7134.091,     20,    7956.317,     20, 
00:00:00 31/03/2017,    6720.369,     20,    6257.606,     20,    7134.091,     20, 
00:00:00 01/04/2017,    5824.630,     20,    5468.990,     20,    6257.606,     20, 
00:00:00 02/04/2017,    5129.113,     20,    4861.426,     20,    5468.990,     20, 
00:00:00 03/04/2017,    4642.635,     20,    4451.458,     20,    4877.669,     20, 
00:00:00 04/04/2017,    4315.835,     20,    4210.834,     20,    4466.794,     20, 
00:00:00 05/04/2017,    6782.162,     20,    4300.042,     20,    7568.813,     20, 
00:00:00 06/04/2017,    6163.412,     20,    5399.136,     20,    7037.496,     20, 
00:00:00 07/04/2017,    5041.537,     20,    4812.912,     20,    5399.136,     20, 
00:00:00 08/04/2017,    5452.059,     20,    4943.030,     20,    6030.461,     20, 
00:00:00 09/04/2017,    6330.023,     20,    6030.461,     20,    6608.736,     20, 
00:00:00 10/04/2017,    5561.969,     20,    5092.114,     20,    6143.342,     20, 
00:00:00 11/04/2017,    4696.943,     20,    4420.915,     20,    5108.875,     20, 
00:00:00 12/04/2017,    4427.043,     20,    4390.502,     20,    4512.974,     20, 
00:00:00 13/04/2017,    4264.539,     20,    4050.518,     20,    4405.666,     20, 
00:00:00 14/04/2017,    3945.697,     20,    3880.224,     20,    4050.518,     20, 
00:00:00 15/04/2017,    4100.123,     20,    4007.491,     20,    4210.834,     20, 
00:00:00 16/04/2017,    4274.365,     20,    4210.834,     20,    4315.032,     20, 
00:00:00 17/04/2017,    4068.484,     20,    3880.224,     20,    4285.094,     20, 
00:00:00 18/04/2017,    3860.739,     20,    3838.363,     20,    3894.221,     20, 
00:00:00 19/04/2017,    3771.943,     20,    3701.117,     20,    3894.221,     20, 
00:00:00 20/04/2017,    3749.791,     20,    3687.552,     20,    3824.496,     20, 
00:00:00 21/04/2017,    3864.533,     20,    3824.496,     20,    3908.261,     20, 
00:00:00 22/04/2017,    4171.084,     20,    3908.261,     20,    4543.949,     20, 
00:00:00 23/04/2017,    5243.511,     20,    4543.949,     20,    6238.469,     20, 
00:00:00 24/04/2017,    6501.132,     20,    6238.469,     20,    6708.485,     20, 
00:00:00 25/04/2017,    5995.373,     20,    5790.614,     20,    6334.546,     20, 
00:00:00 26/04/2017,    5799.796,     20,    5736.182,     20,    5882.112,     20, 
00:00:00 27/04/2017,    5677.651,     20,    5646.154,     20,    5827.075,     20, 
00:00:00 28/04/2017,    5407.639,     20,    5108.875,     20,    5736.182,     20, 
00:00:00 29/04/2017,    4837.257,     20,    4575.096,     20,    5108.875,     20, 
00:00:00 30/04/2017,    4370.879,     20,    4181.371,     20,    4575.096,     20, 
00:00:00 01/05/2017,    4041.995,     20,    3922.344,     20,    4181.371,     20, 
00:00:00 02/05/2017,    3873.992,     20,    3783.067,     20,    3936.427,     20, 
00:00:00 03/05/2017,    3616.585,     20,    3488.270,     20,    3783.067,     20, 
00:00:00 04/05/2017,    3397.674,     20,    3334.003,     20,    3488.270,     20, 
00:00:00 05/05/2017,    3557.131,     20,    3346.704,     20,    3824.496,     20, 
00:00:00 06/05/2017,    3772.045,     20,    3633.682,     20,    3852.274,     20, 
00:00:00 07/05/2017,    3579.012,     20,    3540.715,     20,    3633.682,     20, 
00:00:00 08/05/2017,    3444.074,     20,    3359.405,     20,    3540.715,     20, 
00:00:00 09/05/2017,    3258.470,     20,    3159.821,     20,    3359.405,     20, 
00:00:00 10/05/2017,    3098.874,     20,    3039.120,     20,    3159.821,     20, 
00:00:00 11/05/2017,    3037.010,     20,    3003.523,     20,    3123.274,     20, 
00:00:00 12/05/2017,    2982.783,     20,    2933.150,     20,    3039.120,     20, 
00:00:00 13/05/2017,    2945.583,     20,    2921.530,     20,    2991.730,     20, 
00:00:00 14/05/2017,    2959.760,     20,    2909.909,     20,    2991.730,     20, 
00:00:00 15/05/2017,    2839.993,     20,    2784.370,     20,    2909.909,     20, 
00:00:00 16/05/2017,    2700.463,     20,    2640.686,     20,    2784.370,     20, 
00:00:00 17/05/2017,    2572.380,     20,    2533.507,     20,    2640.686,     20, 
00:00:00 18/05/2017,    3120.694,     20,    2544.091,     20,    5772.427,     20, 
00:00:00 19/05/2017,    9711.250,     20,    5772.427,     20,   13214.059,     20, 
00:00:00 20/05/2017,   13140.498,     20,   10884.067,     20,   14264.683,     20, 
00:00:00 21/05/2017,    8933.247,     20,    7645.795,     20,   10884.067,     20, 
00:00:00 22/05/2017,    6816.029,     20,    6011.798,     20,    7645.795,     20, 
00:00:00 23/05/2017,    5557.189,     20,    5364.446,     20,    6011.798,     20, 
00:00:00 24/05/2017,    5549.171,     20,    5416.546,     20,    5736.182,     20, 
00:00:00 25/05/2017,    5487.528,     20,    5159.333,     20,    5754.283,     20, 
00:00:00 26/05/2017,    4847.310,     20,    4575.096,     20,    5159.333,     20, 
00:00:00 27/05/2017,    4341.131,     20,    4137.437,     20,    4575.096,     20, 
00:00:00 28/05/2017,    3975.891,     20,    3838.363,     20,    4137.437,     20, 
00:00:00 29/05/2017,    3727.455,     20,    3620.333,     20,    3838.363,     20, 
00:00:00 30/05/2017,    3493.704,     20,    3384.936,     20,    3620.333,     20, 
00:00:00 31/05/2017,    3282.063,     20,    3196.627,     20,    3384.936,     20, 
00:00:00 01/06/2017,    3118.454,     20,    3051.086,     20,    3196.627,     20, 
00:00:00 02/06/2017,    2967.478,     20,    2909.909,     20,    3051.086,     20, 
00:00:00 03/06/2017,    2870.103,     20,    2841.005,     20,    2909.909,     20, 
00:00:00 04/06/2017,    2805.358,     20,    2761.949,     20,    2841.005,     20, 
00:00:00 05/06/2017,    2690.295,     20,    2640.686,     20,    2761.949,     20, 
00:00:00 06/06/2017,    2593.082,     20,    2554.718,     20,    2640.686,     20, 
00:00:00 07/06/2017,    2491.196,     20,    2449.872,     20,    2554.718,     20, 
00:00:00 08/06/2017,    2386.407,     20,    2347.877,     20,    2449.872,     20, 
00:00:00 09/06/2017,    2291.706,     20,    2258.539,     20,    2347.877,     20, 
00:00:00 10/06/2017,    2216.639,     20,    2190.629,     20,    2258.539,     20, 
00:00:00 11/06/2017,    2168.888,     20,    2152.397,     20,    2190.629,     20, 
00:00:00 12/06/2017,    2154.197,     20,    2142.936,     20,    2171.448,     20, 
00:00:00 13/06/2017,    2114.565,     20,    2086.603,     20,    2152.397,     20, 
00:00:00 14/06/2017,    2047.212,     20,    2022.149,     20,    2086.603,     20, 
00:00:00 15/06/2017,    1993.668,     20,    1967.933,     20,    2022.149,     20, 
00:00:00 16/06/2017,    1945.141,     20,    1923.523,     20,    1976.918,     20, 
00:00:00 17/06/2017,    1914.915,     20,    1905.941,     20,    1932.336,     20, 
00:00:00 18/06/2017,    1895.385,     20,    1879.762,     20,    1914.710,     20, 
00:00:00 19/06/2017,    1856.031,     20,    1828.094,     20,    1888.445,     20, 
00:00:00 20/06/2017,    1807.800,     20,    1785.802,     20,    1836.648,     20, 
00:00:00 21/06/2017,    1764.401,     20,    1744.114,     20,    1794.182,     20, 
00:00:00 22/06/2017,    1734.007,     20,    1711.238,     20,    1752.408,     20, 
00:00:00 23/06/2017,    1705.999,     20,    1686.874,     20,    1727.611,     20, 
00:00:00 24/06/2017,    1686.664,     20,    1670.717,     20,    1703.074,     20, 
00:00:00 25/06/2017,    1698.348,     20,    1686.874,     20,    1711.238,     20, 
00:00:00 26/06/2017,    1687.601,     20,    1662.682,     20,    1711.238,     20, 
00:00:00 27/06/2017,    1655.370,     20,    1638.792,     20,    1662.682,     20, 
00:00:00 28/06/2017,    1695.847,     20,    1662.682,     20,    1735.862,     20, 
00:00:00 29/06/2017,    1825.515,     20,    1735.862,     20,    1932.336,     20, 
00:00:00 30/06/2017,    1928.941,     20,    1871.078,     20,    1958.990,     20, 
00:00:00 01/07/2017,    1825.090,     20,    1802.650,     20,    1871.078,     20, 
00:00:00 02/07/2017,    2059.899,     20,    1845.202,     20,    2418.984,     20, 
00:00:00 03/07/2017,    3248.509,     20,    2418.984,     20,    3606.984,     20, 
00:00:00 04/07/2017,    3608.375,     20,    3423.427,     20,    3660.552,     20, 
00:00:00 05/07/2017,    3115.719,     20,    2852.410,     20,    3423.427,     20, 
00:00:00 06/07/2017,    2660.356,     20,    2481.019,     20,    2852.410,     20, 
00:00:00 07/07/2017,    2339.858,     20,    2239.013,     20,    2481.019,     20, 
00:00:00 08/07/2017,    2187.708,     20,    2152.397,     20,    2239.013,     20, 
00:00:00 09/07/2017,    2090.718,     20,    2040.422,     20,    2152.397,     20, 
00:00:00 10/07/2017,    2030.711,     20,    2022.149,     20,    2049.624,     20, 
00:00:00 11/07/2017,    2038.729,     20,    2022.149,     20,    2049.624,     20, 
00:00:00 12/07/2017,    1984.071,     20,    1967.933,     20,    2022.149,     20, 
00:00:00 13/07/2017,    1929.868,     20,    1897.171,     20,    1967.933,     20, 
00:00:00 14/07/2017,    1874.008,     20,    1845.202,     20,    1897.171,     20, 
00:00:00 15/07/2017,    1955.580,     20,    1853.798,     20,    1994.933,     20, 
00:00:00 16/07/2017,    1954.463,     20,    1905.941,     20,    1985.904,     20, 
00:00:00 17/07/2017,    1841.558,     20,    1785.802,     20,    1905.941,     20, 
00:00:00 18/07/2017,    1743.890,     20,    1703.074,     20,    1785.802,     20, 
00:00:00 19/07/2017,    1665.340,     20,    1630.843,     20,    1703.074,     20, 
00:00:00 20/07/2017,    1589.608,     20,    1560.643,     20,    1630.843,     20, 
00:00:00 21/07/2017,    1526.712,     20,    1507.464,     20,    1560.643,     20, 
00:00:00 22/07/2017,    1488.785,     20,    1477.613,     20,    1514.981,     20, 
00:00:00 23/07/2017,    1467.607,     20,    1455.451,     20,    1485.043,     20, 
00:00:00 24/07/2017,    1442.387,     20,    1426.291,     20,    1462.838,     20, 
00:00:00 25/07/2017,    1408.147,     20,    1390.349,     20,    1433.549,     20, 
00:00:00 26/07/2017,    1377.657,     20,    1369.094,     20,    1397.520,     20, 
00:00:00 27/07/2017,    1343.904,     20,    1320.322,     20,    1369.094,     20, 
00:00:00 28/07/2017,    1305.771,     20,    1292.976,     20,    1320.322,     20, 
00:00:00 29/07/2017,    1274.138,     20,    1259.280,     20,    1292.976,     20, 
00:00:00 30/07/2017,    1247.672,     20,    1232.798,     20,    1265.976,     20, 
00:00:00 31/07/2017,    1225.008,     20,    1213.142,     20,    1239.365,     20, 
00:00:00 01/08/2017,    1208.803,     20,    1200.139,     20,    1219.666,     20, 
00:00:00 02/08/2017,    1199.350,     20,    1187.266,     20,    1206.619,     20, 
00:00:00 03/08/2017,    1187.151,     20,    1174.478,     20,    1193.702,     20, 
00:00:00 04/08/2017,    1173.581,     20,    1161.778,     20,    1187.266,     20, 
00:00:00 05/08/2017,    1157.819,     20,    1149.163,     20,    1168.128,     20, 
00:00:00 06/08/2017,    1158.742,     20,    1149.163,     20,    1168.128,     20, 
00:00:00 07/08/2017,    1151.639,     20,    1142.856,     20,    1161.778,     20, 
00:00:00 08/08/2017,    1137.061,     20,    1124.194,     20,    1155.427,     20, 
00:00:00 09/08/2017,    1102.564,     20,    1087.430,     20,    1124.194,     20, 
00:00:00 10/08/2017,    1079.755,     20,    1069.330,     20,    1093.478,     20, 
00:00:00 11/08/2017,    1052.489,     20,    1039.651,     20,    1075.334,     20, 
00:00:00 12/08/2017,    1021.638,     20,    1010.491,     20,    1039.651,     20, 
00:00:00 13/08/2017,     998.904,     20,     981.893,     20,    1016.280,     20, 
00:00:00 14/08/2017,     975.079,     20,     959.386,     20,     987.552,     20, 
00:00:00 15/08/2017,     953.620,     20,     937.224,     20,     964.958,     20, 
00:00:00 16/08/2017,     937.497,     20,     926.294,     20,     948.283,     20, 
00:00:00 17/08/2017,     922.106,     20,     910.008,     20,     931.738,     20, 
00:00:00 18/08/2017,     904.097,     20,     893.938,     20,     915.408,     20, 
00:00:00 19/08/2017,     885.995,     20,     872.770,     20,     899.251,     20, 
00:00:00 20/08/2017,     866.313,     20,     851.990,     20,     883.310,     20, 
00:00:00 21/08/2017,     839.497,     20,     826.416,     20,     862.315,     20, 
00:00:00 22/08/2017,     814.288,     20,     796.435,     20,     831.470,     20, 
00:00:00 23/08/2017,     798.926,     20,     786.586,     20,     811.339,     20, 
00:00:00 24/08/2017,     783.147,     20,     771.984,     20,     791.510,     20, 
00:00:00 25/08/2017,     769.991,     20,     762.350,     20,     781.704,     20, 
00:00:00 26/08/2017,     754.988,     20,     743.299,     20,     762.350,     20, 
00:00:00 27/08/2017,     741.467,     20,     729.216,     20,     752.760,     20, 
00:00:00 28/08/2017,     727.429,     20,     715.349,     20,     738.590,     20, 
00:00:00 29/08/2017,     714.791,     20,     701.611,     20,     724.594,     20, 
00:00:00 30/08/2017,     703.335,     20,     692.582,     20,     715.349,     20, 
00:00:00 31/08/2017,     689.967,     20,     679.147,     20,     697.075,     20, 
00:00:00 01/09/2017,     677.030,     20,     670.291,     20,     688.090,     20, 
00:00:00 02/09/2017,     680.845,     20,     674.698,     20,     701.611,     20, 
00:00:00 03/09/2017,     667.091,     20,     661.522,     20,     674.698,     20, 
00:00:00 04/09/2017,     666.724,     20,     657.158,     20,     670.291,     20, 
00:00:00 05/09/2017,     654.639,     20,     644.155,     20,     665.885,     20, 
00:00:00 06/09/2017,     637.157,     20,     622.944,     20,     648.475,     20, 
00:00:00 07/09/2017,     624.626,     20,     614.563,     20,     635.602,     20, 
00:00:00 08/09/2017,     609.926,     20,     598.061,     20,     622.944,     20, 
00:00:00 09/09/2017,     591.043,     20,     581.818,     20,     606.269,     20, 
00:00:00 10/09/2017,     572.538,     20,     565.920,     20,     585.878,     20, 
00:00:00 11/09/2017,     560.043,     20,     550.282,     20,     569.851,     20, 
00:00:00 12/09/2017,     552.079,     20,     542.549,     20,     561.989,     20, 
00:00:00 13/09/2017,     546.125,     20,     534.946,     20,     554.170,     20, 
00:00:00 14/09/2017,     540.265,     20,     531.144,     20,     546.437,     20, 
00:00:00 15/09/2017,     530.076,     20,     519.869,     20,     542.549,     20, 
00:00:00 16/09/2017,     516.335,     20,     508.766,     20,     527.386,     20, 
00:00:00 17/09/2017,     504.349,     20,     494.165,     20,     512.438,     20, 
00:00:00 18/09/2017,     495.344,     20,     486.994,     20,     505.094,     20, 
00:00:00 19/09/2017,     563.381,     20,     501.422,     20,     627.134,     20, 
00:00:00 20/09/2017,     682.259,     20,     618.754,     20,     767.146,     20, 
00:00:00 21/09/2017,     724.577,     20,     683.597,     20,     762.350,     20, 
00:00:00 22/09/2017,     639.821,     20,     614.563,     20,     683.597,     20, 
00:00:00 23/09/2017,     588.564,     20,     573.826,     20,     614.563,     20, 
00:00:00 24/09/2017,     572.359,     20,     561.989,     20,     577.843,     20, 
00:00:00 25/09/2017,     555.306,     20,     538.747,     20,     577.843,     20, 
00:00:00 26/09/2017,     523.398,     20,     505.094,     20,     542.549,     20, 
00:00:00 27/09/2017,     495.292,     20,     479.909,     20,     512.438,     20, 
00:00:00 28/09/2017,     477.046,     20,     469.325,     20,     490.579,     20, 
00:00:00 29/09/2017,     465.681,     20,     452.131,     20,     472.824,     20, 
00:00:00 30/09/2017,     455.504,     20,     438.653,     20,     469.325,     20, 
00:00:00 01/10/2017,     449.307,     20,     438.653,     20,     458.957,     20, 
00:00:00 02/10/2017,     449.604,     20,     438.653,     20,     455.544,     20, 
00:00:00 03/10/2017,     445.241,     20,     432.000,     20,     452.131,     20, 
00:00:00 04/10/2017,     446.081,     20,     435.326,     20,     452.131,     20, 
00:00:00 05/10/2017,     443.132,     20,     432.000,     20,     452.131,     20, 
00:00:00 06/10/2017,     447.128,     20,     438.653,     20,     455.544,     20, 
00:00:00 07/10/2017,     445.522,     20,     435.326,     20,     455.544,     20, 
00:00:00 08/10/2017,     433.301,     60,     422.194,     60,     448.718,     60, 
00:00:00 09/10/2017,     426.911,     60,     415.714,     60,     435.326,     60, 
00:00:00 10/10/2017,     414.836,     60,     402.970,     60,     425.434,     60, 
00:00:00 11/10/2017,     403.496,     60,     390.485,     60,     415.714,     60, 
00:00:00 12/10/2017,     389.594,     60,     378.302,     60,     402.970,     60, 
00:00:00 13/10/2017,     380.098,     60,     366.336,     60,     390.485,     60, 
00:00:00 14/10/2017,     369.451,     60,     360.418,     60,     381.326,     60, 
00:00:00 15/10/2017,     364.257,     60,     348.840,     60,     381.326,     60, 
00:00:00 16/10/2017,     457.315,     60,     372.254,     60,     538.747,     60, 
00:00:00 17/10/2017,     531.194,     20,     479.909,     20,     627.134,     20, 
00:00:00 18/10/2017,    5043.509,     20,     606.269,     20,   27284.688,     20, 
00:00:00 19/10/2017,   28747.628,     10,   26025.754,     10,   31236.019,     10, 
00:00:00 20/10/2017,   19155.387,     10,   15167.779,     10,   27713.707,     10, 
00:00:00 21/10/2017,   11220.833,     20,    8350.387,     20,   15167.779,     20, 
00:00:00 22/10/2017,    8750.980,     20,    8135.683,     20,    9263.376,     20, 
00:00:00 23/10/2017,    6933.317,     20,    5176.224,     20,    8739.360,     20, 
00:00:00 24/10/2017,    4340.666,     20,    3796.848,     20,    5176.224,     20, 
00:00:00 25/10/2017,    3437.853,     20,    3184.315,     20,    3796.848,     20, 
00:00:00 26/10/2017,    3817.283,     20,    3159.821,     20,    4285.094,     20, 
00:00:00 27/10/2017,    3771.554,     20,    3372.149,     20,    4196.102,     20, 
00:00:00 28/10/2017,    2998.808,     20,    2706.394,     20,    3372.149,     20, 
00:00:00 29/10/2017,    2450.300,     20,    2258.539,     20,    2706.394,     20, 
00:00:00 30/10/2017,    2078.072,     20,    1932.336,     20,    2258.539,     20, 
00:00:00 31/10/2017,    1816.938,     20,    1735.862,     20,    1932.336,     20, 
00:00:00 01/11/2017,    1646.555,     20,    1552.997,     20,    1735.862,     20, 
00:00:00 02/11/2017,    1502.780,     20,    1455.451,     20,    1552.997,     20, 
00:00:00 03/11/2017,    1471.578,     20,    1448.150,     20,    1522.541,     20, 
00:00:00 04/11/2017,    1384.332,     20,    1320.322,     20,    1462.838,     20, 
00:00:00 05/11/2017,    1262.918,     20,    1226.232,     20,    1320.322,     20, 
00:00:00 06/11/2017,    1175.537,     20,    1136.635,     20,    1226.232,     20, 
