"Time","116001F","","116001F","","116001F","",""
"and","141.00","","141.00","","141.00","",""
"Date","Discharge (ML/day)","","Discharge (ML/day)","","Discharge (ML/day)","",""
"Date and time","Mean","Quality","Min","Quality","Max","Quality","Comments"
00:00:00 07/03/2010,   10662.003,     30,    9981.554,     30,   11417.414,     30, 
00:00:00 08/03/2010,    9387.719,     30,    8898.077,     30,    9981.554,     30, 
00:00:00 09/03/2010,    8577.389,     30,    8306.496,     30,    8970.091,     30, 
00:00:00 10/03/2010,   14285.401,     30,    8970.091,     30,   19401.293,     30, 
00:00:00 11/03/2010,   15331.089,     30,   13480.733,     30,   17685.907,     30, 
00:00:00 12/03/2010,   13436.778,     30,   12886.171,     30,   14109.379,     30, 
00:00:00 13/03/2010,   13238.536,     30,   12548.434,     30,   14070.629,     30, 
00:00:00 14/03/2010,   19639.613,     30,   13928.846,     30,   23065.863,     30, 
00:00:00 15/03/2010,   18593.180,     30,   15940.109,     30,   22153.695,     30, 
00:00:00 16/03/2010,   14923.346,     30,   14550.754,     30,   15940.109,     30, 
00:00:00 17/03/2010,   15846.508,     30,   15233.918,     30,   16195.680,     30, 
00:00:00 18/03/2010,   13943.231,     30,   12835.973,     30,   15233.918,     30, 
00:00:00 19/03/2010,   12071.666,     30,   11341.339,     30,   12835.973,     30, 
00:00:00 20/03/2010,   10663.478,     30,   10087.140,     30,   11341.339,     30, 
00:00:00 21/03/2010,    9585.066,     30,    9176.587,     30,   10087.140,     30, 
00:00:00 22/03/2010,   10276.481,     30,    9155.894,     30,   12228.754,     30, 
00:00:00 23/03/2010,   24964.328,     30,   12228.754,     30,   32149.311,     30, 
00:00:00 24/03/2010,   23124.611,     30,   18145.037,     30,   29645.395,     30, 
00:00:00 25/03/2010,   15303.200,     30,   13648.491,     30,   18145.037,     30, 
00:00:00 26/03/2010,   18586.934,     30,   13633.877,     30,   23882.818,     30, 
00:00:00 27/03/2010,   20865.925,     30,   18791.050,     30,   23791.623,     30, 
00:00:00 28/03/2010,   19248.704,     30,   18256.882,     30,   20248.315,     30, 
00:00:00 29/03/2010,   18748.070,     30,   17368.085,     30,   20683.253,     30, 
00:00:00 30/03/2010,   26300.909,     30,   20683.253,     30,   30905.971,     30, 
00:00:00 31/03/2010,   29639.303,     30,   27284.688,     30,   31318.704,     30, 
00:00:00 01/04/2010,   33079.419,     30,   27681.869,     30,   36332.280,     30, 
00:00:00 02/04/2010,   29250.844,     30,   24601.018,     30,   34903.267,     30, 
00:00:00 03/04/2010,   23374.095,     30,   22123.973,     30,   24601.018,     30, 
00:00:00 04/04/2010,   25939.031,     30,   24050.304,     30,   28690.632,     30, 
00:00:00 05/04/2010,   32423.243,     30,   28690.632,     30,   39438.317,     30, 
