"Time","120006B","","120006B","","120006B","",""
"and","141.00","","141.00","","141.00","",""
"Date","Discharge (ML/day)","","Discharge (ML/day)","","Discharge (ML/day)","",""
"Date and time","Mean","Quality","Min","Quality","Max","Quality","Comments"
00:00:00 01/12/1992,    1418.299,      9,    1380.456,      9,    1456.574,      9, 
00:00:00 02/12/1992,    1471.687,      9,    1456.574,      9,    1486.858,      9, 
00:00:00 03/12/1992,    1450.872,      9,    1415.318,      9,    1486.858,      9, 
00:00:00 04/12/1992,    1767.516,      9,    1415.318,      9,    2062.627,      9, 
00:00:00 05/12/1992,    2394.404,      9,    2062.627,      9,    3166.862,      9, 
00:00:00 06/12/1992,    5146.759,      9,    3166.862,      9,    5807.506,      9, 
00:00:00 07/12/1992,    4564.851,      9,    4502.995,      9,    4917.326,      9, 
00:00:00 08/12/1992,    4008.327,      9,    3652.733,      9,    4502.995,      9, 
00:00:00 09/12/1992,    3499.406,      9,    3328.862,      9,    3652.733,      9, 
00:00:00 10/12/1992,    2889.284,      9,    2640.038,      9,    3328.862,      9, 
00:00:00 11/12/1992,    2426.751,      9,    2282.602,      9,    2640.038,      9, 
00:00:00 12/12/1992,    2269.994,      9,    2257.416,      9,    2282.602,      9, 
00:00:00 13/12/1992,    2291.191,      9,    2257.416,      9,    2325.197,      9, 
00:00:00 14/12/1992,    2112.090,      9,    1896.091,      9,    2325.197,      9, 
00:00:00 15/12/1992,    1775.929,      9,    1719.101,      9,    1896.091,      9, 
00:00:00 16/12/1992,    1604.232,      9,    1455.019,      9,    1753.445,      9, 
00:00:00 17/12/1992,    1446.991,      9,    1438.992,      9,    1455.019,      9, 
00:00:00 18/12/1992,    1420.351,      9,    1401.883,      9,    1438.992,      9, 
00:00:00 19/12/1992,    1436.342,      9,    1401.883,      9,    1471.176,      9, 
00:00:00 20/12/1992,    1471.176,      9,    1471.176,      9,    1471.176,      9, 
00:00:00 21/12/1992,    1471.176,      9,    1471.176,      9,    1471.176,      9, 
00:00:00 22/12/1992,    1471.176,      9,    1471.176,      9,    1471.176,      9, 
00:00:00 23/12/1992,    1455.041,      9,    1438.992,      9,    1471.176,      9, 
00:00:00 24/12/1992,    1438.992,      9,    1438.992,      9,    1438.992,      9, 
00:00:00 25/12/1992,    1438.992,      9,    1438.992,      9,    1438.992,      9, 
00:00:00 26/12/1992,    1425.679,      9,    1412.424,      9,    1438.992,      9, 
00:00:00 27/12/1992,    1381.147,      9,    1350.216,      9,    1412.424,      9, 
00:00:00 28/12/1992,    1363.003,      9,    1350.216,      9,    1375.877,      9, 
00:00:00 29/12/1992,    1375.877,      9,    1375.877,      9,    1375.877,      9, 
00:00:00 30/12/1992,    1438.800,      9,    1375.877,      9,    1526.213,      9, 
00:00:00 31/12/1992,    1444.543,      9,    1417.608,      9,    1526.213,      9, 
00:00:00 01/01/1993,    1446.962,      9,    1444.176,      9,    1449.749,      9, 
00:00:00 02/01/1993,    1468.548,      9,    1449.749,      9,    1487.462,      9, 
00:00:00 03/01/1993,    1509.660,      9,    1487.462,      9,    1532.002,      9, 
00:00:00 04/01/1993,    1509.289,      9,    1476.792,      9,    1532.002,      9, 
00:00:00 05/01/1993,    1457.834,      9,    1438.992,      9,    1476.792,      9, 
00:00:00 06/01/1993,    1433.614,      9,    1428.235,      9,    1438.992,      9, 
00:00:00 07/01/1993,    1423.152,      9,    1401.883,      9,    1428.235,      9, 
00:00:00 08/01/1993,    1368.281,      9,    1335.053,      9,    1401.883,      9, 
00:00:00 09/01/1993,    1335.053,      9,    1335.053,      9,    1335.053,      9, 
00:00:00 10/01/1993,    1355.393,      9,    1335.053,      9,    1375.877,      9, 
00:00:00 11/01/1993,    1375.877,      9,    1375.877,      9,    1375.877,      9, 
00:00:00 12/01/1993,    2032.801,      9,    1375.877,      9,    2884.032,      9, 
00:00:00 13/01/1993,   35609.200,      9,    2884.032,      9,   59115.053,      9, 
00:00:00 14/01/1993,   22047.421,      9,   20219.069,      9,   27273.240,      9, 
00:00:00 15/01/1993,   18641.217,      9,   13376.707,      9,   24139.383,      9, 
00:00:00 16/01/1993,    9994.855,      9,    7770.816,      9,   13376.707,      9, 
00:00:00 17/01/1993,    6184.542,      9,    5113.238,      9,    7770.816,      9, 
00:00:00 18/01/1993,    4380.533,      9,    3719.822,      9,    5113.238,      9, 
00:00:00 19/01/1993,    3210.518,      9,    2735.856,      9,    3719.822,      9, 
00:00:00 20/01/1993,    2217.702,      9,    1612.786,      9,    2735.856,      9, 
00:00:00 21/01/1993,    1571.736,      9,    1486.858,      9,    1746.706,      9, 
00:00:00 22/01/1993,    2157.439,      9,    1746.706,      9,    2640.038,      9, 
00:00:00 23/01/1993,    2301.919,      9,    2134.210,      9,    2640.038,      9, 
00:00:00 24/01/1993,    2207.830,      9,    2134.210,      9,    2282.602,      9, 
00:00:00 25/01/1993,    2187.767,      9,    2118.096,      9,    2282.602,      9, 
00:00:00 26/01/1993,    1634.596,      9,    1397.736,      9,    2118.096,      9, 
00:00:00 27/01/1993,    1380.319,      9,    1362.960,      9,    1397.736,      9, 
00:00:00 28/01/1993,    1298.753,      9,    1252.670,      9,    1362.960,      9, 
00:00:00 29/01/1993,    1297.151,      9,    1236.730,      9,    1374.494,      9, 
00:00:00 30/01/1993,    1210.507,      9,    1184.544,      9,    1236.730,      9, 
00:00:00 31/01/1993,    1184.544,      9,    1184.544,      9,    1184.544,      9, 
00:00:00 01/02/1993,    1184.544,      9,    1184.544,      9,    1184.544,      9, 
00:00:00 02/02/1993,    1146.715,      9,    1109.462,      9,    1184.544,      9, 
00:00:00 03/02/1993,    1109.462,      9,    1109.462,      9,    1109.462,      9, 
00:00:00 04/02/1993,    1109.462,      9,    1109.462,      9,    1109.462,      9, 
00:00:00 05/02/1993,    1109.462,      9,    1109.462,      9,    1109.462,      9, 
00:00:00 06/02/1993,    1109.462,      9,    1109.462,      9,    1109.462,      9, 
00:00:00 07/02/1993,    1146.715,      9,    1109.462,      9,    1184.544,      9, 
00:00:00 08/02/1993,    1159.178,      9,    1134.043,      9,    1184.544,      9, 
00:00:00 09/02/1993,    1143.943,      9,    1134.043,      9,    1153.872,      9, 
00:00:00 10/02/1993,    1136.527,      9,    1119.269,      9,    1153.872,      9, 
00:00:00 11/02/1993,    1119.269,      9,    1119.269,      9,    1119.269,      9, 
00:00:00 12/02/1993,    1119.269,      9,    1119.269,      9,    1119.269,      9, 
00:00:00 13/02/1993,    1119.269,      9,    1119.269,      9,    1119.269,      9, 
00:00:00 14/02/1993,    1131.653,      9,    1119.269,      9,    1144.066,      9, 
00:00:00 15/02/1993,    1210.071,      9,    1144.066,      9,    1257.898,      9, 
00:00:00 16/02/1993,    1257.898,      9,    1257.898,      9,    1257.898,      9, 
00:00:00 17/02/1993,    1396.688,      9,    1257.898,      9,    1517.616,      9, 
00:00:00 18/02/1993,    1307.045,      9,    1274.011,      9,    1340.453,      9, 
00:00:00 19/02/1993,    1274.011,      9,    1274.011,      9,    1274.011,      9, 
00:00:00 20/02/1993,    1274.011,      9,    1274.011,      9,    1274.011,      9, 
00:00:00 21/02/1993,    1343.189,      9,    1274.011,      9,    1427.112,      9, 
00:00:00 22/02/1993,    1438.913,      9,    1427.112,      9,    1450.742,      9, 
00:00:00 23/02/1993,    1638.995,      9,    1450.742,      9,    1774.224,      9, 
00:00:00 24/02/1993,    1708.684,      9,    1606.478,      9,    1903.262,      9, 
00:00:00 25/02/1993,    1940.234,      9,    1809.389,      9,    2054.981,      9, 
00:00:00 26/02/1993,    1733.833,      9,    1672.229,      9,    1809.389,      9, 
00:00:00 27/02/1993,    1574.272,      9,    1468.714,      9,    1672.229,      9, 
00:00:00 28/02/1993,    1371.951,      9,    1252.670,      9,    1468.714,      9, 
00:00:00 01/03/1993,    1362.236,      9,    1252.670,      9,    1561.550,      9, 
00:00:00 02/03/1993,    1918.432,      9,    1561.550,      9,    2150.453,      9, 
00:00:00 03/03/1993,    1564.481,      9,    1307.102,      9,    1760.616,      9, 
00:00:00 04/03/1993,    1253.149,      9,    1164.024,      9,    1334.664,      9, 
00:00:00 05/03/1993,    1207.422,      9,    1174.262,      9,    1334.664,      9, 
00:00:00 06/03/1993,    1194.790,      9,    1174.262,      9,    1215.518,      9, 
00:00:00 07/03/1993,    1212.991,      9,    1210.464,      9,    1215.518,      9, 
00:00:00 08/03/1993,    1189.786,      9,    1169.251,      9,    1210.464,      9, 
00:00:00 09/03/1993,    1189.786,      9,    1169.251,      9,    1210.464,      9, 
00:00:00 10/03/1993,    1184.638,      9,    1159.099,      9,    1210.464,      9, 
00:00:00 11/03/1993,    1134.151,      9,    1109.462,      9,    1159.099,      9, 
00:00:00 12/03/1993,    1169.306,      9,    1109.462,      9,    1210.464,      9, 
00:00:00 13/03/1993,    1139.184,      9,    1109.462,      9,    1169.251,      9, 
00:00:00 14/03/1993,    1109.462,      9,    1109.462,      9,    1109.462,      9, 
00:00:00 15/03/1993,    1251.295,      9,    1109.462,      9,    1317.946,      9, 
00:00:00 16/03/1993,    1342.386,      9,    1263.125,      9,    1403.482,      9, 
00:00:00 17/03/1993,    1274.098,      9,    1247.098,      9,    1301.357,      9, 
00:00:00 18/03/1993,    1215.634,      9,    1184.544,      9,    1247.098,      9, 
00:00:00 19/03/1993,    1093.809,      9,    1061.424,      9,    1184.544,      9, 
00:00:00 20/03/1993,    1059.120,      9,    1056.845,      9,    1061.424,      9, 
00:00:00 21/03/1993,    1056.845,      9,    1056.845,      9,    1056.845,      9, 
00:00:00 22/03/1993,    1056.845,      9,    1056.845,      9,    1056.845,      9, 
00:00:00 23/03/1993,    1111.302,      9,    1056.845,      9,    1179.230,      9, 
00:00:00 24/03/1993,    1192.104,      9,    1179.230,      9,    1205.064,      9, 
00:00:00 25/03/1993,    1184.458,      9,    1164.024,      9,    1205.064,      9, 
00:00:00 26/03/1993,    1146.413,      9,    1128.946,      9,    1164.024,      9, 
00:00:00 27/03/1993,    1159.078,      9,    1128.946,      9,    1189.555,      9, 
00:00:00 28/03/1993,    1197.281,      9,    1189.555,      9,    1205.064,      9, 
00:00:00 29/03/1993,    1210.277,      9,    1205.064,      9,    1215.518,      9, 
00:00:00 30/03/1993,    1236.622,      9,    1215.518,      9,    1257.898,      9, 
00:00:00 31/03/1993,    1285.056,      9,    1257.898,      9,    1312.502,      9, 
00:00:00 01/04/1993,    1354.817,      9,    1312.502,      9,    1397.736,      9, 
00:00:00 02/04/1993,    1467.101,      9,    1397.736,      9,    1542.715,      9, 
00:00:00 03/04/1993,    1617.038,      9,    1542.715,      9,    1685.275,      9, 
00:00:00 04/04/1993,    1801.467,      9,    1685.275,      9,    1896.091,      9, 
00:00:00 05/04/1993,    1717.230,      9,    1432.901,      9,    1896.091,      9, 
00:00:00 06/04/1993,    1354.803,      9,    1317.946,      9,    1432.901,      9, 
00:00:00 07/04/1993,    1420.673,      9,    1345.982,      9,    1651.968,      9, 
00:00:00 08/04/1993,    1751.983,      9,    1651.968,      9,    1845.115,      9, 
00:00:00 09/04/1993,    1664.755,      9,    1480.896,      9,    1845.115,      9, 
00:00:00 10/04/1993,    1376.474,      9,    1362.960,      9,    1480.896,      9, 
00:00:00 11/04/1993,    1391.846,      9,    1362.960,      9,    1421.021,      9, 
00:00:00 12/04/1993,    1391.846,      9,    1362.960,      9,    1421.021,      9, 
00:00:00 13/04/1993,    1340.381,      9,    1317.946,      9,    1362.960,      9, 
00:00:00 14/04/1993,    1317.946,      9,    1317.946,      9,    1317.946,      9, 
00:00:00 15/04/1993,    1315.224,      9,    1312.502,      9,    1317.946,      9, 
00:00:00 16/04/1993,    1298.700,      9,    1284.984,      9,    1312.502,      9, 
00:00:00 17/04/1993,    1279.483,      9,    1274.011,      9,    1284.984,      9, 
00:00:00 18/04/1993,    1252.541,      9,    1231.243,      9,    1274.011,      9, 
00:00:00 19/04/1993,    1242.727,      9,    1231.243,      9,    1254.269,      9, 
00:00:00 20/04/1993,    1265.954,      9,    1254.269,      9,    1277.640,      9, 
00:00:00 21/04/1993,    1289.484,      9,    1277.640,      9,    1301.357,      9, 
00:00:00 22/04/1993,    1315.238,      9,    1301.357,      9,    1329.178,      9, 
00:00:00 23/04/1993,    1363.270,      9,    1329.178,      9,    1397.736,      9, 
00:00:00 24/04/1993,    1363.270,      9,    1329.178,      9,    1397.736,      9, 
00:00:00 25/04/1993,    1559.263,      9,    1329.178,      9,    2023.747,      9, 
00:00:00 26/04/1993,    1975.628,      9,    1427.112,      9,    2367.878,      9, 
00:00:00 27/04/1993,    1579.074,      9,    1427.112,      9,    2000.765,      9, 
00:00:00 28/04/1993,    1940.139,      9,    1678.752,      9,    2231.928,      9, 
00:00:00 29/04/1993,    1843.653,      9,    1561.550,      9,    2231.928,      9, 
00:00:00 30/04/1993,    1617.130,      9,    1438.690,      9,    1881.317,      9, 
00:00:00 01/05/1993,    1409.443,      9,    1380.456,      9,    1438.690,      9, 
00:00:00 02/05/1993,    1409.443,      9,    1380.456,      9,    1438.690,      9, 
00:00:00 03/05/1993,    1627.703,      9,    1438.690,      9,    2031.739,      9, 
00:00:00 04/05/1993,    1659.261,      9,    1468.714,      9,    2031.739,      9, 
00:00:00 05/05/1993,    1378.430,      9,    1296.000,      9,    1511.568,      9, 
00:00:00 06/05/1993,    1377.301,      9,    1296.000,      9,    1511.568,      9, 
00:00:00 07/05/1993,    1369.194,      9,    1296.000,      9,    1421.021,      9, 
00:00:00 08/05/1993,    1323.799,      9,    1296.000,      9,    1351.858,      9, 
00:00:00 09/05/1993,    1451.572,      9,    1296.000,      9,    1530.144,      9, 
00:00:00 10/05/1993,    1520.842,      9,    1511.568,      9,    1530.144,      9, 
00:00:00 11/05/1993,    1517.796,      9,    1511.568,      9,    1524.053,      9, 
00:00:00 12/05/1993,    1639.396,      9,    1462.795,      9,    1802.477,      9, 
00:00:00 13/05/1993,    1418.342,      9,    1374.494,      9,    1462.795,      9, 
00:00:00 14/05/1993,    1346.076,      9,    1317.946,      9,    1374.494,      9, 
00:00:00 15/05/1993,    1323.547,      9,    1317.946,      9,    1329.178,      9, 
00:00:00 16/05/1993,    1351.750,      9,    1329.178,      9,    1374.494,      9, 
00:00:00 17/05/1993,    1374.494,      9,    1374.494,      9,    1374.494,      9, 
00:00:00 18/05/1993,    1351.750,      9,    1329.178,      9,    1374.494,      9, 
00:00:00 19/05/1993,    1309.680,      9,    1290.298,      9,    1329.178,      9, 
00:00:00 20/05/1993,    1295.827,      9,    1290.298,      9,    1301.357,      9, 
00:00:00 21/05/1993,    1212.685,      9,    1109.462,      9,    1301.357,      9, 
00:00:00 22/05/1993,    1073.462,      9,    1038.010,      9,    1109.462,      9, 
00:00:00 23/05/1993,    1061.518,      9,    1038.010,      9,    1085.227,      9, 
00:00:00 24/05/1993,    1082.894,      9,    1080.562,      9,    1085.227,      9, 
00:00:00 25/05/1993,    1097.330,      9,    1080.562,      9,    1114.214,      9, 
00:00:00 26/05/1993,    1114.214,      9,    1114.214,      9,    1114.214,      9, 
00:00:00 27/05/1993,    1102.039,      9,    1089.893,      9,    1114.214,      9, 
00:00:00 28/05/1993,    1097.280,      9,    1089.893,      9,    1104.667,      9, 
00:00:00 29/05/1993,    1092.586,      9,    1080.562,      9,    1104.667,      9, 
00:00:00 30/05/1993,    1151.779,      9,    1080.562,      9,    1179.230,      9, 
00:00:00 31/05/1993,    1141.675,      9,    1104.667,      9,    1179.230,      9, 
00:00:00 01/06/1993,    1061.813,      9,    1019.736,      9,    1104.667,      9, 
00:00:00 02/06/1993,     961.907,      9,     889.272,      9,    1019.736,      9, 
00:00:00 03/06/1993,     741.967,      9,     700.704,      9,     889.272,      9, 
00:00:00 04/06/1993,     770.727,      9,     728.568,      9,     828.965,      9, 
00:00:00 05/06/1993,    1028.195,      9,     828.965,      9,    1104.667,      9, 
00:00:00 06/06/1993,     990.497,      9,     948.283,      9,    1033.517,      9, 
00:00:00 07/06/1993,     902.978,      9,     825.206,      9,     961.589,      9, 
00:00:00 08/06/1993,     869.533,      9,     856.742,      9,     961.589,      9, 
00:00:00 09/06/1993,     719.849,      9,     647.352,      9,     856.742,      9, 
00:00:00 10/06/1993,     636.084,      9,     624.931,      9,     647.352,      9, 
00:00:00 11/06/1993,     797.324,      9,     624.931,      9,    1199.923,      9, 
00:00:00 12/06/1993,    1155.874,      9,    1051.963,      9,    1317.946,      9, 
00:00:00 13/06/1993,    1231.355,      9,    1075.594,      9,    1290.298,      9, 
00:00:00 14/06/1993,    1094.668,      9,    1028.722,      9,    1263.125,      9, 
00:00:00 15/06/1993,     906.030,      9,     844.862,      9,    1028.722,      9, 
00:00:00 16/06/1993,     695.712,      9,     647.352,      9,     844.862,      9, 
00:00:00 17/06/1993,     655.488,      9,     647.352,      9,     663.682,      9, 
00:00:00 18/06/1993,     639.418,      9,     615.557,      9,     663.682,      9, 
00:00:00 19/06/1993,     486.922,      9,     321.365,      9,     615.557,      9, 
00:00:00 20/06/1993,     633.017,      9,     606.312,      9,     660.269,      9, 
00:00:00 21/06/1993,     668.549,      9,     660.269,      9,     676.858,      9, 
00:00:00 22/06/1993,     580.533,      9,     524.621,      9,     676.858,      9, 
00:00:00 23/06/1993,     550.073,      9,     524.621,      9,     576.072,      9, 
00:00:00 24/06/1993,     496.909,      9,     363.139,      9,     576.072,      9, 
00:00:00 25/06/1993,     284.568,      9,     264.902,      9,     363.139,      9, 
00:00:00 26/06/1993,     280.094,      9,     264.902,      9,     295.661,      9, 
00:00:00 27/06/1993,     406.701,      9,     295.661,      9,     532.915,      9, 
00:00:00 28/06/1993,     727.311,      9,     532.915,      9,     873.029,      9, 
00:00:00 29/06/1993,     789.592,      9,     406.728,      9,     965.822,      9, 
00:00:00 30/06/1993,     306.878,      9,     278.251,      9,     406.728,      9, 
00:00:00 01/07/1993,     267.415,      9,     256.781,      9,     278.251,      9, 
00:00:00 02/07/1993,     255.982,      9,     255.182,      9,     256.781,      9, 
00:00:00 03/07/1993,     295.479,      9,     255.182,      9,     344.822,      9, 
00:00:00 04/07/1993,     530.993,      9,     344.822,      9,     735.739,      9, 
00:00:00 05/07/1993,     841.203,      9,     521.942,      9,    1019.736,      9, 
00:00:00 06/07/1993,     484.325,      9,     397.656,      9,     666.922,      9, 
00:00:00 07/07/1993,     687.146,      9,     666.922,      9,     707.659,      9, 
00:00:00 08/07/1993,     699.019,      9,     690.466,      9,     707.659,      9, 
00:00:00 09/07/1993,     721.793,      9,     690.466,      9,     753.754,      9, 
00:00:00 10/07/1993,     823.718,      9,     753.754,      9,     997.056,      9, 
00:00:00 11/07/1993,    1088.366,      9,     997.056,      9,    1099.656,      9, 
00:00:00 12/07/1993,    1099.656,      9,    1099.656,      9,    1099.656,      9, 
00:00:00 13/07/1993,    1099.656,      9,    1099.656,      9,    1099.656,      9, 
00:00:00 14/07/1993,    1099.656,      9,    1099.656,      9,    1099.656,      9, 
00:00:00 15/07/1993,    1097.287,      9,    1094.947,      9,    1099.656,      9, 
00:00:00 16/07/1993,    1094.947,      9,    1094.947,      9,    1094.947,      9, 
00:00:00 17/07/1993,    1059.314,      9,    1024.229,      9,    1094.947,      9, 
00:00:00 18/07/1993,    1124.057,      9,    1024.229,      9,    1263.125,      9, 
00:00:00 19/07/1993,    1295.964,      9,    1263.125,      9,    1329.178,      9, 
00:00:00 20/07/1993,    1357.502,      9,    1329.178,      9,    1386.115,      9, 
00:00:00 21/07/1993,    1386.115,      9,    1386.115,      9,    1386.115,      9, 
00:00:00 22/07/1993,    1313.385,      9,    1274.011,      9,    1386.115,      9, 
00:00:00 23/07/1993,    1323.835,      9,    1274.011,      9,    1374.494,      9, 
00:00:00 24/07/1993,    1374.494,      9,    1374.494,      9,    1374.494,      9, 
00:00:00 25/07/1993,    1337.710,      9,    1301.357,      9,    1374.494,      9, 
00:00:00 26/07/1993,    1282.183,      9,    1263.125,      9,    1301.357,      9, 
00:00:00 27/07/1993,    1241.806,      9,    1220.659,      9,    1263.125,      9, 
00:00:00 28/07/1993,    1078.102,      9,     873.029,      9,    1220.659,      9, 
00:00:00 29/07/1993,     796.054,      9,     772.114,      9,     873.029,      9, 
00:00:00 30/07/1993,     700.073,      9,     618.581,      9,     772.114,      9, 
00:00:00 31/07/1993,     553.469,      9,     538.531,      9,     618.581,      9, 
00:00:00 01/08/1993,     527.429,      9,     516.413,      9,     538.531,      9, 
00:00:00 02/08/1993,     506.952,      9,     497.578,      9,     516.413,      9, 
00:00:00 03/08/1993,     497.578,      9,     497.578,      9,     497.578,      9, 
00:00:00 04/08/1993,     504.245,      9,     497.578,      9,     510.970,      9, 
00:00:00 05/08/1993,     510.970,      9,     510.970,      9,     510.970,      9, 
00:00:00 06/08/1993,     517.766,      9,     510.970,      9,     524.621,      9, 
00:00:00 07/08/1993,     580.919,      9,     524.621,      9,     676.858,      9, 
00:00:00 08/08/1993,     719.582,      9,     676.858,      9,     764.683,      9, 
00:00:00 09/08/1993,     838.271,      9,     764.683,      9,     965.822,      9, 
00:00:00 10/08/1993,    1064.685,      9,     965.822,      9,    1205.064,      9, 
00:00:00 11/08/1993,    1914.665,      9,    1205.064,      9,    2207.218,      9, 
00:00:00 12/08/1993,    1409.693,      9,     992.390,      9,    2070.749,      9, 
00:00:00 13/08/1993,     849.591,      9,     760.882,      9,     992.390,      9, 
00:00:00 14/08/1993,     737.496,      9,     714.398,      9,     760.882,      9, 
00:00:00 15/08/1993,     832.905,      9,     714.398,      9,    1051.963,      9, 
00:00:00 16/08/1993,    1410.353,      9,    1051.963,      9,    1639.094,      9, 
00:00:00 17/08/1993,    1485.070,      9,    1334.664,      9,    1651.968,      9, 
00:00:00 18/08/1993,    1764.635,      9,    1651.968,      9,    1823.688,      9, 
00:00:00 19/08/1993,    2153.657,      9,    1651.968,      9,    2482.920,      9, 
00:00:00 20/08/1993,    1132.892,      9,     825.206,      9,    1651.968,      9, 
00:00:00 21/08/1993,     940.819,      9,     825.206,      9,    1001.462,      9, 
00:00:00 22/08/1993,    1031.149,      9,     864.864,      9,    1109.462,      9, 
00:00:00 23/08/1993,    1127.213,      9,     864.864,      9,    1274.011,      9, 
00:00:00 24/08/1993,    1352.912,      9,     935.410,      9,    1593.475,      9, 
00:00:00 25/08/1993,     770.578,      9,     714.398,      9,     935.410,      9, 
00:00:00 26/08/1993,     792.536,      9,     714.398,      9,    1001.462,      9, 
00:00:00 27/08/1993,     868.932,      9,     786.931,      9,    1047.384,      9, 
00:00:00 28/08/1993,     786.931,      9,     786.931,      9,     786.931,      9, 
00:00:00 29/08/1993,     775.764,      9,     764.683,      9,     786.931,      9, 
00:00:00 30/08/1993,     709.797,      9,     627.998,      9,     764.683,      9, 
00:00:00 31/08/1993,     578.606,      9,     567.259,      9,     627.998,      9, 
00:00:00 01/09/1993,     567.259,      9,     567.259,      9,     567.259,      9, 
00:00:00 02/09/1993,     567.259,      9,     567.259,      9,     567.259,      9, 
00:00:00 03/09/1993,     567.259,      9,     567.259,      9,     567.259,      9, 
00:00:00 04/09/1993,     548.582,      9,     530.194,      9,     567.259,      9, 
00:00:00 05/09/1993,     530.194,      9,     530.194,      9,     530.194,      9, 
00:00:00 06/09/1993,     558.720,      9,     530.194,      9,     587.909,      9, 
00:00:00 07/09/1993,     587.909,      9,     587.909,      9,     587.909,      9, 
00:00:00 08/09/1993,     587.909,      9,     587.909,      9,     587.909,      9, 
00:00:00 09/09/1993,     570.211,      9,     552.744,      9,     587.909,      9, 
00:00:00 10/09/1993,     538.596,      9,     524.621,      9,     552.744,      9, 
00:00:00 11/09/1993,     524.621,      9,     524.621,      9,     524.621,      9, 
00:00:00 12/09/1993,     524.621,      9,     524.621,      9,     524.621,      9, 
00:00:00 13/09/1993,     524.621,      9,     524.621,      9,     524.621,      9, 
00:00:00 14/09/1993,     545.738,      9,     524.621,      9,     567.259,      9, 
00:00:00 15/09/1993,     541.562,      9,     516.413,      9,     567.259,      9, 
00:00:00 16/09/1993,     516.413,      9,     516.413,      9,     516.413,      9, 
00:00:00 17/09/1993,     552.262,      9,     516.413,      9,     573.178,      9, 
00:00:00 18/09/1993,     585.108,      9,     573.178,      9,     597.154,      9, 
00:00:00 19/09/1993,     612.490,      9,     597.154,      9,     627.998,      9, 
00:00:00 20/09/1993,     664.024,      9,     627.998,      9,     711.029,      9, 
00:00:00 21/09/1993,     739.404,      9,     711.029,      9,     768.269,      9, 
00:00:00 22/09/1993,     777.557,      9,     768.269,      9,     786.931,      9, 
00:00:00 23/09/1993,     811.714,      9,     786.931,      9,     836.870,      9, 
00:00:00 24/09/1993,     807.905,      9,     779.371,      9,     836.870,      9, 
00:00:00 25/09/1993,     761.076,      9,     742.954,      9,     779.371,      9, 
00:00:00 26/09/1993,     742.954,      9,     742.954,      9,     742.954,      9, 
00:00:00 27/09/1993,     742.954,      9,     742.954,      9,     742.954,      9, 
00:00:00 28/09/1993,     734.018,      9,     725.112,      9,     742.954,      9, 
00:00:00 29/09/1993,     711.151,      9,     697.334,      9,     725.112,      9, 
00:00:00 30/09/1993,     688.817,      9,     680.357,      9,     697.334,      9, 
00:00:00 01/10/1993,     680.357,      9,     680.357,      9,     680.357,      9, 
00:00:00 02/10/1993,     680.357,      9,     680.357,      9,     680.357,      9, 
00:00:00 03/10/1993,     680.357,      9,     680.357,      9,     680.357,      9, 
00:00:00 04/10/1993,     663.754,      9,     647.352,      9,     680.357,      9, 
00:00:00 05/10/1993,     647.352,      9,     647.352,      9,     647.352,      9, 
00:00:00 06/10/1993,     655.488,      9,     647.352,      9,     663.682,      9, 
00:00:00 07/10/1993,     701.049,      9,     663.682,      9,     760.882,      9, 
00:00:00 08/10/1993,     804.126,      9,     760.882,      9,     844.862,      9, 
00:00:00 09/10/1993,     844.862,      9,     844.862,      9,     844.862,      9, 
00:00:00 10/10/1993,     864.922,      9,     844.862,      9,     885.211,      9, 
00:00:00 11/10/1993,     941.545,      9,     885.211,      9,    1014.984,      9, 
00:00:00 12/10/1993,    1014.984,      9,    1014.984,      9,    1014.984,      9, 
00:00:00 13/10/1993,    1177.159,      9,    1014.984,      9,    1639.094,      9, 
00:00:00 14/10/1993,    1797.774,      9,    1456.574,      9,    1933.070,      9, 
00:00:00 15/10/1993,    1159.514,      9,    1094.947,      9,    1456.574,      9, 
00:00:00 16/10/1993,    1059.314,      9,    1024.229,      9,    1094.947,      9, 
00:00:00 17/10/1993,    1052.222,      9,    1024.229,      9,    1080.562,      9, 
00:00:00 18/10/1993,    1080.562,      9,    1080.562,      9,    1080.562,      9, 
00:00:00 19/10/1993,    1092.586,      9,    1080.562,      9,    1104.667,      9, 
00:00:00 20/10/1993,    1104.667,      9,    1104.667,      9,    1104.667,      9, 
00:00:00 21/10/1993,    1156.614,      9,    1104.667,      9,    1247.098,      9, 
00:00:00 22/10/1993,    1346.988,      9,    1247.098,      9,    1580.558,      9, 
00:00:00 23/10/1993,    1322.430,      9,    1205.064,      9,    1580.558,      9, 
00:00:00 24/10/1993,    1187.100,      9,    1169.251,      9,    1205.064,      9, 
00:00:00 25/10/1993,    1149.026,      9,    1128.946,      9,    1169.251,      9, 
00:00:00 26/10/1993,    1111.860,      9,    1094.947,      9,    1128.946,      9, 
00:00:00 27/10/1993,    1059.314,      9,    1024.229,      9,    1094.947,      9, 
00:00:00 28/10/1993,    1064.088,      9,    1024.229,      9,    1104.667,      9, 
00:00:00 29/10/1993,    1104.667,      9,    1104.667,      9,    1104.667,      9, 
00:00:00 30/10/1993,    1104.667,      9,    1104.667,      9,    1104.667,      9, 
00:00:00 31/10/1993,    1087.762,      9,    1070.971,      9,    1104.667,      9, 
00:00:00 01/11/1993,    1087.762,      9,    1070.971,      9,    1104.667,      9, 
00:00:00 02/11/1993,    1116.778,      9,    1104.667,      9,    1128.946,      9, 
