"Time","120006B","","120006B","","120006B","",""
"and","141.00","","141.00","","141.00","",""
"Date","Discharge (ML/day)","","Discharge (ML/day)","","Discharge (ML/day)","",""
"Date and time","Mean","Quality","Min","Quality","Max","Quality","Comments"
00:00:00 10/04/1975,   27741.960,      9,   23596.730,      9,   30573.783,      9, 
00:00:00 11/04/1975,   19992.672,      9,   16199.641,      9,   23596.730,      9, 
00:00:00 12/04/1975,   13807.559,      9,   11796.933,      9,   16199.641,      9, 
00:00:00 13/04/1975,   10976.379,      9,   10198.021,      9,   11796.933,      9, 
00:00:00 14/04/1975,    9676.528,      9,    9215.854,      9,   10198.021,      9, 
00:00:00 15/04/1975,    8999.652,      9,    8764.157,      9,    9215.854,      9, 
00:00:00 16/04/1975,    8546.738,      9,    8283.816,      9,    8764.157,      9, 
00:00:00 17/04/1975,    8110.422,      9,    8002.843,      9,    8283.816,      9, 
00:00:00 18/04/1975,    7941.360,      9,    7874.669,      9,    8002.843,      9, 
00:00:00 19/04/1975,    7656.376,      9,    7448.026,      9,    7874.669,      9, 
00:00:00 20/04/1975,    7202.031,      9,    6868.368,      9,    7448.026,      9, 
00:00:00 21/04/1975,    6783.536,      9,    6604.897,      9,    6868.368,      9, 
00:00:00 22/04/1975,    6384.168,      9,    6208.272,      9,    6604.897,      9, 
00:00:00 23/04/1975,    6063.244,      9,    5966.827,      9,    6208.272,      9, 
00:00:00 24/04/1975,    5988.700,      9,    5861.290,      9,    6356.621,      9, 
00:00:00 25/04/1975,    5841.622,      9,    5764.435,      9,    6128.657,      9, 
00:00:00 26/04/1975,    5845.696,      9,    5750.827,      9,    5958.922,      9, 
00:00:00 27/04/1975,    5625.835,      9,    5359.079,      9,    5750.827,      9, 
00:00:00 28/04/1975,    5141.251,      9,    4985.798,      9,    5359.079,      9, 
00:00:00 29/04/1975,    4892.610,      9,    4754.207,      9,    4985.798,      9, 
00:00:00 30/04/1975,    4663.912,      9,    4575.139,      9,    4754.207,      9, 
00:00:00 01/05/1975,    4488.648,      9,    4405.190,      9,    4575.139,      9, 
00:00:00 02/05/1975,    4405.106,      9,    4398.624,      9,    4405.190,      9, 
00:00:00 03/05/1975,    4256.439,      9,    4076.870,      9,    4398.624,      9, 
